start,end,kiro,line
小倉,西小倉,0.8,鹿児島
西小倉,城野,5.3,日豊
城野,大分,126.8,日豊
城野,田川後藤寺,30,日田彦山
田川後藤寺,夜明,38.7,日田彦山
大分,夜明,102.4,久大
夜明,久留米,39.1,久大
西小倉,折尾,18.3,鹿児島
折尾,香椎,39.7,鹿児島
香椎,吉塚,6.6,鹿児島
吉塚,博多,1.8,鹿児島
吉塚,長者原,5.7,篠栗
長者原,桂川,19.4,篠栗
香椎,長者原,6.3,香椎線
新飯塚,田川後藤寺,13.3,後藤寺
折尾,新飯塚,26.8,筑豊
新飯塚,桂川,7.7,筑豊
桂川,原田,20.8,筑豊
博多,原田,19.7,鹿児島
原田,鳥栖,8.9,鹿児島
鳥栖,久留米,7.1,鹿児島
博多,新鳥栖,28.6,九州幹
新鳥栖,久留米,7.1,九州幹
鳥栖,新鳥栖,2.9,長崎
新鳥栖,肥前山口,36.7,長崎
肥前山口,諫早,60.8,長崎
諫早,肥前山口２,87.5,大村佐世保
久留米,筑後船小屋,15.8,鹿児島
筑後船小屋,熊本,66.9,鹿児島
熊本,新八代,32.9,鹿児島
新八代,川内,91.5,九州幹
川内,鹿児島中央,46.1,鹿児島
大分,都城,257,日豊
都城,隼人,44.8,日豊
隼人,鹿児島中央,31.1,日豊鹿児島
吉松,都城,61.6,吉都
新八代,吉松,89.6,鹿児島肥薩
吉松,隼人,37.4,肥薩
